Comment,Designator,Footprint,LCSC,Quantity
0,"R16,R17",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C137394,2
100K,R22,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C844863,1
100R,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C137392,1
100nF,"C11,C14,C2,C3,C5,C8,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C2167356,7
100uF,C4,CP_Radial_D6.3mm_P2.50mm,C1589590,1
10K,"R10,R11,R12,R13,R14,R15,R18,R19,R20,R3,R31,R32,R6,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C132649,14
10uF,"C12,C13,C15,C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C89632,4
1K,"R23,R24,R33",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C131398,3
1N4007W,D3,D_SOD-123,C3018540,1
220,R21,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C137353,1
22uF,"C10,C6",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C318754,2
3.2x4.2,SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C470426,1
330,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C114944,1
33K,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C7233588,1
434133025816,SW2,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C470426,1
470R,"R1,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C844876,2
47uF,C1,CP_Radial_D6.3mm_P2.50mm,C1580807,1
82K,"R28,R29,R30",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C870906,3
ADS1115IDGS,U5,TSSOP-10_3x3mm_P0.5mm,C37593,1
BC807-40,Q1,SOT-23,C5184433,1
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681,1
ESP-12F,U2,ESP-12E,C82891,1
LD1117S33TR,U1,SOT-223-3_TabPin2,C86781,1
LED,LD1,LED_1206_3216Metric,C133134,1
MF-NSMF050-2,TH1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C75464,1
MH3261-601Y,FB1,L_1206_3216Metric,C840591,1
PCF8574,U6,SOIC-16W_7.5x10.3mm_P1.27mm,C7605,1
PJ320E,J5,Jack_3.5mm_PJ320E_Horizontal,C2939183,1
PMEG2010AEH-115,"D1,D2",D_SOD-123F,C110921,2
SMD9650-DC3V,BZ1,Buzzer_CUI_CPT-9019S-SMT,C49246960,1
Schurter UMT250 3403.0160.24,F1,Fuse_Schurter_UMZ250,C3163460,1
Screw_Terminal_01x02,"J1,J3","PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",C90074,2
TFPT1206L1002DV,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2154230,1
UMH3NFHATN,U4,SOT-363_SC-70-6,C3194552,1
USB3076-30-A,J2,USB_Micro-B_GCT_USB3076-30-A,C6007475,1
ZMPT107-1,TR1,Transformer_Zeming_ZMPT107,C125191,1
