Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,SMD9650-DC3V,Buzzer_CUI_CPT-9019S-SMT,44.535,37.525,-90.0,top
C1,47uF,CP_Radial_D6.3mm_P2.50mm,6.0,59.15,0.0,top
C10,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,115.52,34.4,-90.0,top
C11,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,54.635,10.58,90.0,bottom
C12,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,54.59,16.58,270.0,bottom
C13,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.09,16.58,270.0,bottom
C14,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,68.59,29.62,-90.0,top
C15,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47.59,24.03,90.0,bottom
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.3,47.0,0.0,top
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,9.9,47.0,0.0,top
C4,100uF,CP_Radial_D6.3mm_P2.50mm,6.0,52.43,180.0,top
C5,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,61.59,38.58,90.0,top
C6,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,58.09,38.58,90.0,top
C7,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,44.09,62.58,90.0,top
C8,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47.59,62.58,90.0,top
C9,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,61.59,65.58,90.0,top
D1,PMEG2010AEH-115,D_SOD-123F,52.0,72.5,0.0,top
D2,PMEG2010AEH-115,D_SOD-123F,9.965,64.94,0.0,top
D3,1N4007W,D_SOD-123,44.535,35.525,90.0,bottom
F1,Schurter UMT250 3403.0160.24,Fuse_Schurter_UMZ250,6.645,2.23,0.0,bottom
FB1,MH3261-601Y,L_1206_3216Metric,51.09,16.58,270.0,bottom
J1,Screw_Terminal_01x02,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",7.5,70.25,180.0,top
J2,USB3076-30-A,USB_Micro-B_GCT_USB3076-30-A,58.1,76.35,180.0,top
J3,Screw_Terminal_01x02,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",7.525,8.75,0.0,top
J5,PJ320E,Jack_3.5mm_PJ320E_Horizontal,65.84,8.275,180.0,top
LD1,LED,LED_1206_3216Metric,118.0,24.0,-90.0,top
Q1,BC807-40,SOT-23,54.59,29.62,90.0,top
